id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
62033,Historic Home :  Bedroom - Private Bathroom,301435,Freddy,,North,40.77278,-74.17206,Private room,73,3,84,2025-05-07,0.48,1,333,4,NWK015120
1975091,"Hello World, Welcome to Newark!!!!",9169027,Kimberly B,,West,40.74492,-74.19763,Private room,51,10,93,2023-10-26,0.67,2,349,0,
2277901,Elegant & Most Ideal Muwuyu Queen enSuite,11308972,Tendai D,,West,40.73465,-74.24753,Private room,76,3,77,2025-09-25,0.56,3,357,10,
2279324,Charming Private 1BR Apartment – Easy NYC Access,11308972,Tendai D,,West,40.73392,-74.24569,Entire home/apt,100,5,74,2025-08-20,0.53,3,329,5,
4015993,Forest Hill Colonial,20822869,Thomas,,North,40.7672,-74.17303,Private room,83,28,51,2025-02-26,0.38,1,175,2,
4408881,Victorian Home Large Apt by NYC,296707902,Sergio,,North,40.78038,-74.17197,Entire home/apt,87,5,194,2025-09-12,1.48,1,349,10,
5459428,Hello World Private Room!!!,9169027,Kimberly B,,West,40.74547,-74.19773,Private room,50,10,69,2022-06-25,0.54,2,311,0,
6134188,Beautiful Colonial near NYC!,26222479,Caro-Lina,,North,40.76394,-74.17272,Entire home/apt,,2,53,2018-01-01,0.42,1,0,0,
8116202,Ironbound Oasis: Urban Retreat Near NYC,23630245,Bart,,East,40.7315,-74.16316,Entire home/apt,134,29,122,2025-05-04,1.11,1,67,1,
8404849,Serene Hidden Gem>>AIRPT 8min~DWTN 12min~NYC 25min,23767297,Sandy & Tone,,South,40.70617,-74.21037,Entire home/apt,,30,41,2022-07-04,0.86,1,0,0,
8628016,Cozy and private. Near New York/Newark Airport.,45377447,Katiuscia & Andre,,East,40.72656,-74.15298,Private room,118,2,7,2017-09-01,0.06,1,362,0,
9449534,City Cove: Access to Airport & NYC,48966617,Martin,,South,40.70607376098633,-74.20662689208984,Entire home/apt,72,10,22,2024-11-02,0.19,1,251,1,
10218263,Living room with slide door lock from inside,20241104,Demagalhaes,,East,40.73244094848633,-74.1421127319336,Private room,50,1,248,2025-09-29,2.17,1,24,42,
11371204,Best Room To Visit NYC✈️Newark Airport-Walk➤Subway,1315486,Roy,,East,40.73059,-74.16423,Private room,71,1,413,2025-09-15,3.54,5,323,4,NWK083948
11371231,Best Room To Visit NYC✈️Newark Airport-Walk➤Subway,1315486,Roy,,East,40.73094,-74.16227,Private room,,1,345,2025-09-02,2.96,5,304,3,NWK083948
11420487,Best Room To Visit NYC✈️Newark Airport-Walk➤Subway,1315486,Roy,,East,40.73124,-74.16298,Private room,70,1,277,2025-09-12,2.38,5,325,1,NWK083948
11460244,Best Room To Visit NYC✈️Newark Airport-Walk➤Subway,1315486,Roy,,East,40.73204,-74.16218,Private room,,1,258,2025-07-04,2.21,5,327,2,NWK083948
14090491,1BR located in Newark Min. to NJPAC/Prudential Ctr,84758841,Kimberly,,South,40.71491,-74.19023,Private room,64,1,425,2025-09-17,3.80,1,275,43,NWK060020
15002915,EWR layover express,70526911,Chateau,,Central,40.73131,-74.19424,Entire home/apt,69,1,150,2020-08-30,1.37,4,303,0,
